GL Code,Name,Party A/c,Vch Narration,Led Narration,A/c Grp 5,A/c Grp 4,A/c Grp3 (Alloc),A/c Grp 2 (MIS),A/c Grp 1,Verical Grp,Final Grp in P&L,"Bangalore Common
Product Group",,"Bangalore Common
Lounge Costs","Bangalore Baklava
","Bangalore Beverages
","Bangalore Breads
",Bangalore Cakes & Pastries,Bangalore Chocolates,Bangalore Cookies,Bangalore Ready to Eat,Chennai Common Product Group,"Delhi Common Product 
Group","Gurgaon Common Product Group
","Mumbai Common
Product Group",Banni Square,1 Mg Cafe,1 MG,Adarsh Palm Retreat,BLR Airport Terminal,TFS Airport,IRHPL-T2,Artizan T2 Internatonal,Basaveshwara Nagar,BEL Road,Bhartiya City Mall,Bhartiya Mall,Bellandur,Bangalore Corporate,Cummulus,International Bakery,Forum Mall,Garuda Mall,Bangalore Retail,"Bangalore HORECA
",HSR,Electronic City,IRHPL-BLR,IRHPL-Delhi,Indiranagar,Jayanagar,J.P Nagar,Kadugodi,Kamanahalli,Koramangala,Lavelle Road,Mahadevpura,Mall of Asia,MAP Smoor,Marathahalli,Orion Mall,Phoenix Mall,RR Nagar,RT Nagar,Sadashivanagar,Sarjapur,Forum Shantiniketan,UB City,Uttarahalli,Vega City,Whitefield Lounge,Yelahanka Cloud Kitchen,Arumbakkam Cloud Kitchen,Avadi CH,"Mumbai Lounge Cost
","Chennai Common Lounge Costs
",Chennai Corporate,Express Avenue SMOOR,Medavakkam TN,Velachery,Delhi Corporate,"Delhi Lounge Cost
",Ambience Mall,Defense Colony CK,Dwarka Cloud Kitchen,Green Park CK,Kalkaji - RF,Laxmi Nagar,Mukherjee Nagar,"Gurgaon Common Lounge Cost
","Gurgaon Corporate
",Gurugram sector 31 Cloud Kitchen,Udyog Vihar CK,Vashi Smoor,Bandra,Bhandup,Mumbai Corporate,Godrej One,Grant Road,Infiniti Mall Malad,Malad,Jio mall,Kharghar,Koreagaon Park,"Pune Common Lounge Costs
",Mahakali,Mira Road,PMC Kurla,Phoenix Mall Pune,Powai,Sakinaka,Seawoods Mall,Versova,Viviana Mall Thane,Pune Common Product Group,Greater Noida 2,Noida Sector 2,Noida Sector 46,Total,Grand Total Airport,Grand Total Bangalore Category,Grand Total Mumbai Category,Bangalore Lounge Total,Mumbai Lounge Total,Mumbai Vertical Total,Delhi Vertical Total,Chennai Vertical Total,Pune Vertical Total,UP Vertical Total,BANGALORE TOTAL,MUMBAI TOTAL,DELHI TOTAL,GURGAON TOTAL,CHENNAI TOTAL,PUNE TOTAL,UP TOTAL
421010,DG - Factory,UNITED POWER SYSTEMS,Being HAL factory DG charges for the month of Jun-24 Inv no UPSDG/2024-25/80 01.07.24 TDS DD 1% on Rs 15000/-,,Expenses,Factory Overheads,Factory Overheads,"Factory /WH - Electricity, DG & Water","Factory /WH - Electricity, DG & Water",Factory Cost,Other  Factory Overheads,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000,0,0,0,0,0,0,0,0,0,0,15000,0,0,0,0,0,0
421010,DG - Factory,UNITED POWER SYSTEMS,Being HAL Chocolate godown DG charges for the month of Jun-24 Inv no UPSDG/2024-25/83 01.07.24 TDS DD 1% on Rs 15000/-,,Expenses,Factory Overheads,Factory Overheads,"Factory /WH - Electricity, DG & Water","Factory /WH - Electricity, DG & Water",Factory Cost,Other  Factory Overheads,0,0,0,0,0,0,0,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000,0,15000,0,0,0,0,0,0,0,0,15000,0,0,0,0,0,0
431024,Lounge - DG,UNITED POWER SYSTEMS,Being BEL road lounge DG charges for the month of Jun-24 Inv no UPSDG/2024-25/84 01.07.24 TDS DD 1% on Rs 15000/-,,Expenses,Direct Vertical Costs,Lounge Costs,Store - Infra Costs,"Lounge - Electricity, DG, Water",Verical Cost,Other Infra Cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000,0,0,0,15000,0,0,0,0,0,0,15000,0,0,0,0,0,0
451018,Bank Charges,,"being PHI EDC amount received for 28.06.2024,29.06.2024 & 30.06.2024",,Expenses,Corporate Costs,Corporate Costs,Other Corporate Expenses,Other Corporate Expenses,Corporate Cost,Finance Cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2477.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2477.33,2477.33,0,0,2477.33,0,0,0,0,0,0,2477.33,0,0,0,0,0,0
451018,Bank Charges,,being Bank charges for the date 2024-July-01,,Expenses,Corporate Costs,Corporate Costs,Other Corporate Expenses,Other Corporate Expenses,Corporate Cost,Finance Cost,0,0,6029.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6029.29,0,0,0,0,0,0,0,0,0,0,6029.29,0,0,0,0,0,0
441014,Freight Outwards - Sales - IGST,ANZ Support Services India Pvt.Ltd.,No Remarks,,Expenses,Selling & Dist Cost,Selling & Dist Cost,Frieght & Delivery,Frieght & Delivery,Vertical Cost,Freight & Delivery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-600,0,0,0,0,0,0,0,0,0,0,-600,0,0,0,0,0,0
441014,Freight Outwards - Sales,Globemaster Foods Pvt Ltd - Blr,No Remarks,,Expenses,Selling & Dist Cost,Selling & Dist Cost,Frieght & Delivery,Frieght & Delivery,Vertical Cost,Freight & Delivery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-508,0,0,0,0,0,0,0,0,0,0,-508,0,0,0,0,0,0
441014,Freight Outwards - Sales - IGST,Soliton Technologies Pvt Ltd - Coimbatore SEZ,No Remarks,,Expenses,Selling & Dist Cost,Selling & Dist Cost,Frieght & Delivery,Frieght & Delivery,Vertical Cost,Freight & Delivery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1271,0,0,0,0,0,0,0,0,0,0,-1271,0,0,0,0,0,0
321003,Other Misc Income 5%,Smoor Lounge - IndiraNagar,0,,Income,Misc Income,Other Income,Misc Income,Other Income,Other Income,Other Income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1667,0,0,0,-1667,0,0,0,0,0,0,-1667,0,0,0,0,0,0
441014,Freight Outwards - Sales 5%,Smoor Lounge - IndiraNagar,0,,Expenses,Selling & Dist Cost,Selling & Dist Cost,Frieght & Delivery,Frieght & Delivery,Vertical Cost,Freight & Delivery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,-100,0,0,0,0,0,0,-100,0,0,0,0,0,0
321003,Other Misc Income 5%,Smoor Lounge - Lavelle Road,0,,Income,Misc Income,Other Income,Misc Income,Other Income,Other Income,Other Income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5196,0,0,0,-5196,0,0,0,0,0,0,-5196,0,0,0,0,0,0
321003,Other Misc Income 5%,Smoor Lounge - New Koramangala,0,,Income,Misc Income,Other Income,Misc Income,Other Income,Other Income,Other Income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-562,0,0,0,-562,0,0,0,0,0,0,-562,0,0,0,0,0,0
321003,Other Misc Income 5%,Smoor Lounge - Whitefield (New),0,,Income,Misc Income,Other Income,Misc Income,Other Income,Other Income,Other Income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1478,0,0,0,-1478,0,0,0,0,0,0,-1478,0,0,0,0,0,0
321003,Other Misc Income 5%,Smoor Lounge - Jayanagar,0,,Income,Misc Income,Other Income,Misc Income,Other Income,Other Income,Other Income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1374,0,0,0,-1374,0,0,0,0,0,0,-1374,0,0,0,0,0,0
441014,Freight Outwards - Sales 5%,Smoor Lounge - Jayanagar,0,,Expenses,Selling & Dist Cost,Selling & Dist Cost,Frieght & Delivery,Frieght & Delivery,Vertical Cost,Freight & Delivery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-95,0,0,0,-95,0,0,0,0,0,0,-95,0,0,0,0,0,0
321003,Other Misc Income 5%,Smoor Lounge - Sadashivanagar,0,,Income,Misc Income,Other Income,Misc Income,Other Income,Other Income,Other Income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1327,0,0,0,-1327,0,0,0,0,0,0,-1327,0,0,0,0,0,0
321003,Other Misc Income 5%,Smoor Lounge - APR,0,,Income,Misc Income,Other Income,Misc Income,Other Income,Other Income,Other Income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-248,0,0,0,-248,0,0,0,0,0,0,-248,0,0,0,0,0,0
321003,Other Misc Income 5%,Smoor Lounge - Bel Road,0,,Income,Misc Income,Other Income,Misc Income,Other Income,Other Income,Other Income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-245,0,0,0,-245,0,0,0,0,0,0,-245,0,0,0,0,0,0
321003,Other Misc Income 5%,Smoor Lounge - Kammanahalli,0,,Income,Misc Income,Other Income,Misc Income,Other Income,Other Income,Other Income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-330,0,0,0,-330,0,0,0,0,0,0,-330,0,0,0,0,0,0
