,0,1,2,3,4,5,6,7,8,9,10,11
0,431020,Commission on Sales - Aggregators - Lounge,Bundl Technologies Private Limited- Cr,Being commission invoice for : 21-27 JUL : 9415 : 1MG CAFE : 240731FS29005497 :31/07/2024,,Expenses,Direct Vertical Costs,Lounge Costs,Sales Commission,Sales Commission,Vertical Cost,Aggregator Commission
1,431042,Online Marketing (Carousal)_x000D_,Bundl Technologies Private Limited- Cr,Being commission invoice for : 21-27 JUL : 9415 : 1MG CAFE : 240731FS29005497 :31/07/2024,,Expenses,Selling & Dist Cost,Selling & Dist Cost,Business Development,Swiggy,Vertical Cost,Performance Marketing
2,431036,Order Cancelation - E Commerce,Bundl Technologies Private Limited- Cr,Being commission invoice for : 21-27 JUL : 9415 : 1MG CAFE : 240731FS29005497 :31/07/2024,,Expenses,Corporate Costs,Corporate Costs,Office Expenses,Office Expenses,Corporate Cost,Other Expenses
3,431020,Commission on Sales - Aggregators - Lounge,Bundl Technologies Private Limited- Cr,Being commission invoice for : 21-27 JUL : 328433 : BEL ROAD : 240731FS29005499 :31/07/2024,,Expenses,Direct Vertical Costs,Lounge Costs,Sales Commission,Sales Commission,Vertical Cost,Aggregator Commission
4,431042,Online Marketing (Carousal)_x000D_,Bundl Technologies Private Limited- Cr,Being commission invoice for : 21-27 JUL : 328433 : BEL ROAD : 240731FS29005499 :31/07/2024,,Expenses,Selling & Dist Cost,Selling & Dist Cost,Business Development,Swiggy,Vertical Cost,Performance Marketing
5,431020,Commission on Sales - Aggregators - Lounge,Bundl Technologies Private Limited- Cr,Being commission invoice for : 21-27 JUL : 438717 : BEL ROAD  (Truly Asian) : 240731FS29006589 :31/07/2024,,Expenses,Direct Vertical Costs,Lounge Costs,Sales Commission,Sales Commission,Vertical Cost,Aggregator Commission
6,431020,Commission on Sales - Aggregators - Lounge,Bundl Technologies Private Limited- Cr,Being commission invoice for : 21-27 JUL : 783640 : BHARTIYA CITY MALL : 240731FS29004521 :31/07/2024,,Expenses,Direct Vertical Costs,Lounge Costs,Sales Commission,Sales Commission,Vertical Cost,Aggregator Commission
7,431042,Online Marketing (Carousal)_x000D_,Bundl Technologies Private Limited- Cr,Being commission invoice for : 21-27 JUL : 783640 : BHARTIYA CITY MALL : 240731FS29004521 :31/07/2024,,Expenses,Selling & Dist Cost,Selling & Dist Cost,Business Development,Swiggy,Vertical Cost,Performance Marketing
8,431036,Order Cancelation - E Commerce,Bundl Technologies Private Limited- Cr,Being commission invoice for : 21-27 JUL : 783640 : BHARTIYA CITY MALL : 240731FS29004521 :31/07/2024,,Expenses,Corporate Costs,Corporate Costs,Office Expenses,Office Expenses,Corporate Cost,Other Expenses
9,431020,Commission on Sales - Aggregators - Lounge,Bundl Technologies Private Limited- Cr,Being commission invoice for : 21-27 JUL : 1053 : FORUM NEXUS KORAMANGALA : 240731FS29006341 :31/07/2024,,Expenses,Direct Vertical Costs,Lounge Costs,Sales Commission,Sales Commission,Vertical Cost,Aggregator Commission
10,431042,Online Marketing (Carousal)_x000D_,Bundl Technologies Private Limited- Cr,Being commission invoice for : 21-27 JUL : 1053 : FORUM NEXUS KORAMANGALA : 240731FS29006341 :31/07/2024,,Expenses,Selling & Dist Cost,Selling & Dist Cost,Business Development,Swiggy,Vertical Cost,Performance Marketing
11,431020,Commission on Sales - Aggregators - Lounge,Bundl Technologies Private Limited- Cr,Being commission invoice for : 21-27 JUL : 1052 : INDIRANAGAR : 240731FS29005780 :31/07/2024,,Expenses,Direct Vertical Costs,Lounge Costs,Sales Commission,Sales Commission,Vertical Cost,Aggregator Commission
12,431042,Online Marketing (Carousal)_x000D_,Bundl Technologies Private Limited- Cr,Being commission invoice for : 21-27 JUL : 1052 : INDIRANAGAR : 240731FS29005780 :31/07/2024,,Expenses,Selling & Dist Cost,Selling & Dist Cost,Business Development,Swiggy,Vertical Cost,Performance Marketing
13,431020,Commission on Sales - Aggregators - Lounge,Bundl Technologies Private Limited- Cr,Being commission invoice for : 21-27 JUL : 439079 : INDIRANAGAR  (Truly Asian) : 240731FS29006404 :31/07/2024,,Expenses,Direct Vertical Costs,Lounge Costs,Sales Commission,Sales Commission,Vertical Cost,Aggregator Commission
14,431020,Commission on Sales - Aggregators - Lounge,Bundl Technologies Private Limited- Cr,Being commission invoice for : 21-27 JUL : 400169 : JAYANAGAR : 240731FS29003539 :31/07/2024,,Expenses,Direct Vertical Costs,Lounge Costs,Sales Commission,Sales Commission,Vertical Cost,Aggregator Commission
15,431042,Online Marketing (Carousal)_x000D_,Bundl Technologies Private Limited- Cr,Being commission invoice for : 21-27 JUL : 400169 : JAYANAGAR : 240731FS29003539 :31/07/2024,,Expenses,Selling & Dist Cost,Selling & Dist Cost,Business Development,Swiggy,Vertical Cost,Performance Marketing
16,431036,Order Cancelation - E Commerce,Bundl Technologies Private Limited- Cr,Being commission invoice for : 21-27 JUL : 400169 : JAYANAGAR : 240731FS29003539 :31/07/2024,,Expenses,Corporate Costs,Corporate Costs,Office Expenses,Office Expenses,Corporate Cost,Other Expenses
